"Title","Artist","Rank","Chart Date","Imprint"
"Brenda's Got A Baby/If My Homie Calls","2Pac",6,"1992-04-18","Interscope"
"Tennessee","Arrested Development",11,"1992-04-18","Chrysalis"
"Jiggable Pie","AMG",12,"1992-04-18","Select Street"
"If You Want It","2nd II None",20,"1992-04-18","Profile"
"Scenario","A Tribe Called Quest",26,"1992-04-18","Jive"
"Brenda's Got A Baby/If My Homie Calls","2Pac",5,"1992-04-25","Interscope"
"Tennessee","Arrested Development",7,"1992-04-25","Chrysalis"
"Jiggable Pie","AMG",11,"1992-04-25","Select Street"
"If You Want It","2nd II None",19,"1992-04-25","Profile"
"Scenario","A Tribe Called Quest",21,"1992-04-25","Jive"
"Brenda's Got A Baby/If My Homie Calls","2Pac",3,"1992-05-02","Interscope"
"Tennessee","Arrested Development",4,"1992-05-02","Chrysalis"
"Jiggable Pie","AMG",13,"1992-05-02","Select Street"
"Scenario","A Tribe Called Quest",16,"1992-05-02","Jive"
"If You Want It","2nd II None",17,"1992-05-02","Profile"
"Tennessee","Arrested Development",3,"1992-05-09","Chrysalis"
"Brenda's Got A Baby/If My Homie Calls","2Pac",6,"1992-05-09","Interscope"
"Scenario","A Tribe Called Quest",12,"1992-05-09","Jive"
"If You Want It","2nd II None",15,"1992-05-09","Profile"
"Jiggable Pie","AMG",17,"1992-05-09","Select Street"
"Tennessee","Arrested Development",2,"1992-05-16","Chrysalis"
"Brenda's Got A Baby/If My Homie Calls","2Pac",8,"1992-05-16","Interscope"
"Scenario","A Tribe Called Quest",12,"1992-05-16","Jive"
"If You Want It","2nd II None",14,"1992-05-16","Profile"
"Jiggable Pie","AMG",25,"1992-05-16","Select Street"
"Tennessee","Arrested Development",1,"1992-05-23","Chrysalis"
"Scenario","A Tribe Called Quest",6,"1992-05-23","Jive"
"If You Want It","2nd II None",13,"1992-05-23","Profile"
"Brenda's Got A Baby/If My Homie Calls","2Pac",15,"1992-05-23","Interscope"
"Jiggable Pie","AMG",29,"1992-05-23","Select Street"
"Tennessee","Arrested Development",2,"1992-05-30","Chrysalis"
"Scenario","A Tribe Called Quest",6,"1992-05-30","Jive"
